Port,Banner,Scanned At
22,,2026-06-04 12:13:43
80,"HTTP/1.1 200 OK
Date: Thu, 04 Jun 2026 06:43:42 GMT
Server: Apache/2.4.7 (Ubuntu)
Accept-Ranges: bytes
Vary: Accept-Encoding
Connection: close
Content-Type: text/html",2026-06-04 12:13:43
